"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "HTML", "SQL", "comment", "blank", "total"
"c:\Users\perso\devmtn\personal-project\src\components\Register\Register.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\perso\devmtn\personal-project\src\components\SignIn\SignIn.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\perso\devmtn\personal-project\src\components\SignIn\SignIn.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\perso\devmtn\personal-project\src\index.css", "CSS", 42, 0, 0, 0, 0, 0, 0, 18, 3, 63
"c:\Users\perso\devmtn\personal-project\src\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 4, 26
"c:\Users\perso\devmtn\personal-project\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\perso\devmtn\personal-project\src\reTest.json", "JSON", 0, 0, 0, 0, 2462, 0, 0, 0, 0, 2462
"c:\Users\perso\devmtn\personal-project\src\redux\authReducer.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 4, 4, 26
"c:\Users\perso\devmtn\personal-project\src\redux\gameReducer.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 7, 10, 76
"c:\Users\perso\devmtn\personal-project\src\redux\store.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\perso\devmtn\personal-project\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\perso\devmtn\personal-project\src\routes.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\perso\devmtn\personal-project\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 107, 1549, 1, 39, 19764, 20, 65, 206, 290, 22041
